Genus,Month,Delivery_type,Infant_Prevalence,Mother_Prevalence
Pectobacterium,1,C-section,0,0
Peptoniphilus,1,C-section,4,4
Peptostreptococcus,1,C-section,2,5
Phascolarctobacterium,1,C-section,0,8
Photorhabdus,1,C-section,0,0
Plautia,1,C-section,0,0
Porphyromonas,1,C-section,2,2
Prevotella,1,C-section,5,10
Propionibacterium,1,C-section,3,1
Proteus,1,C-section,2,2
Providencia,1,C-section,1,0
Pseudomonas,1,C-section,0,0
Pseudoxanthomonas,1,C-section,0,0
Rahnella,1,C-section,0,0
Roseburia,1,C-section,3,14
Rothia,1,C-section,9,6
Ruminococcaceae,1,C-section,4,14
Ruminococcus,1,C-section,10,15
Salmonella,1,C-section,0,0
Serratia,1,C-section,0,0
Slackia,1,C-section,0,1
Sodalis,1,C-section,0,0
Staphylococcus,1,C-section,15,4
Stenotrophomonas,1,C-section,1,0
Streptococcus,1,C-section,15,15
Subdoligranulum,1,C-section,0,15
Sutterella,1,C-section,3,10
Turicibacter,1,C-section,0,11
Ureaplasma,1,C-section,0,1
Veillonella,1,C-section,13,8
Victivallis,1,C-section,0,4
Xanthomonas,1,C-section,0,0
Xenorhabdus,1,C-section,0,0
Yersinia,1,C-section,0,0
