Mother_Education,Mother_Weight_Gain,Pre-pregnancy_Diabetes,Pre-pregnancy_Hypertension,Bin_Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",6 lbs,No,No,1,33.61,3381.95,12.64,38.59,30.89
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,0,40,2041,6,33,35.2
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,0,34,393,5.6,21,24.84
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,0,38.67,546.67,4,22.33,25.63
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,0,37,1881.75,7.25,30,30
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,0,31.25,1296,6.5,28.25,27.8
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,34.4,2252.6,11.2,33.4,29.1
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,32.71,2453.29,10.86,35.57,28.69
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,33.67,2706.09,14.5,36.58,28.17
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,34.2,2709.2,11.87,36.05,29.49
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,34.13,3244.58,11.36,38.52,29.8
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",6 lbs,No,No,1,34.58,3468.42,11.53,39.05,31.26
8th grade or less,7 lbs,No,No,0,28,2557.5,7,36,27.7
8th grade or less,7 lbs,No,No,0,29.22,946.8,4.91,24.43,27.18
8th grade or less,7 lbs,No,No,0,29,1481.44,4.9,27.7,27.5
8th grade or less,7 lbs,No,No,0,32.12,2542.38,7.38,34.62,29.44
8th grade or less,7 lbs,No,No,0,25.42,2792.55,8.83,35.08,26.27
8th grade or less,7 lbs,No,No,1,29.15,2446.25,7.56,34.6,28.88
8th grade or less,7 lbs,No,No,1,29.97,2706.54,8.35,35.03,29.35
8th grade or less,7 lbs,No,No,1,30.6,2610.34,9,35.54,29.79
8th grade or less,7 lbs,No,No,1,30.81,2974.22,8.97,37.36,29.23
8th grade or less,7 lbs,No,No,1,30.56,3178.23,9.6,38.45,29.28
8th grade or less,7 lbs,No,No,1,29.88,3234.82,8.49,38.88,29.11
9th through 12th grade with no diploma,7 lbs,No,No,0,22.13,1108.36,4.07,24.93,27.53
9th through 12th grade with no diploma,7 lbs,No,No,0,24.82,908.06,6.39,24.03,27.24
9th through 12th grade with no diploma,7 lbs,No,No,0,24.58,1478.74,5.56,29.06,25.68
9th through 12th grade with no diploma,7 lbs,No,No,0,23.49,1571.91,7.26,29.37,27.15
9th through 12th grade with no diploma,7 lbs,No,No,0,25.47,1724.94,6.03,30.5,28.04
9th through 12th grade with no diploma,7 lbs,No,No,1,25.13,1672.81,6.24,30.91,28.97
9th through 12th grade with no diploma,7 lbs,No,No,1,26.02,2089.62,7.76,32.9,28.26
9th through 12th grade with no diploma,7 lbs,No,No,1,24.96,2513.37,8.22,35,30.29
9th through 12th grade with no diploma,7 lbs,No,No,1,25.83,2819.84,8.87,36.82,30.44
9th through 12th grade with no diploma,7 lbs,No,No,1,26.19,3114.73,9.54,38.33,30.58
9th through 12th grade with no diploma,7 lbs,No,No,1,26.22,3100.3,9.89,38.47,30.01
High school graduate or GED completed,7 lbs,No,No,0,26.5,1318.96,4.87,26.26,27.2
High school graduate or GED completed,7 lbs,No,No,0,27.21,886.33,5.21,24.23,29.24
High school graduate or GED completed,7 lbs,No,No,0,27.43,1018.96,6.45,25.05,28.76
High school graduate or GED completed,7 lbs,No,No,0,27.03,1392.62,5.96,28.12,29.05
High school graduate or GED completed,7 lbs,No,No,0,27.72,1905.78,8.52,31.68,32.54
High school graduate or GED completed,7 lbs,No,No,1,26.57,2171.95,8.3,32.89,31.35
High school graduate or GED completed,7 lbs,No,No,1,26.74,2124.54,8.64,33.13,30.95
High school graduate or GED completed,7 lbs,No,No,1,27.04,2471.58,9.14,34.71,31.85
High school graduate or GED completed,7 lbs,No,No,1,26.93,2905.17,9.88,37.16,32.15
High school graduate or GED completed,7 lbs,No,No,1,26.98,3154.76,10.52,38.38,31.99
High school graduate or GED completed,7 lbs,No,No,1,26.74,3222.07,10.74,38.52,31.66
"Some college credit, but not a degree",7 lbs,No,No,0,26.92,2224,7.45,31,31.98
"Some college credit, but not a degree",7 lbs,No,No,0,28.01,826.94,5.65,23.92,29.36
"Some college credit, but not a degree",7 lbs,No,No,0,28.04,966.07,5.6,24.62,30.29
"Some college credit, but not a degree",7 lbs,No,No,0,28.97,1826.62,7.42,30.67,32.14
"Some college credit, but not a degree",7 lbs,No,No,0,28.43,2097.96,9.04,32.17,32.73
"Some college credit, but not a degree",7 lbs,No,No,1,28.73,2016.17,8.9,32.27,33.11
"Some college credit, but not a degree",7 lbs,No,No,1,28.59,2281.92,9.22,33.56,31.88
"Some college credit, but not a degree",7 lbs,No,No,1,28.36,2558.88,10.13,34.94,33.05
"Some college credit, but not a degree",7 lbs,No,No,1,28.37,3000.04,10.62,37.37,33.36
"Some college credit, but not a degree",7 lbs,No,No,1,28.33,3198.45,11.13,38.43,32.92
"Some college credit, but not a degree",7 lbs,No,No,1,28.74,3242.41,11.1,38.55,33.03
"Associate degree (AA, AS)",7 lbs,No,No,0,30.75,371,4,19.33,30.12
"Associate degree (AA, AS)",7 lbs,No,No,0,31.41,930.53,6.42,23.79,30.07
"Associate degree (AA, AS)",7 lbs,No,No,0,33.06,1519.77,7.62,25.62,31.42
"Associate degree (AA, AS)",7 lbs,No,No,0,29.53,1910.61,8.89,29.84,32.46
"Associate degree (AA, AS)",7 lbs,No,No,0,29.12,1753.33,7.17,30.12,34.09
"Associate degree (AA, AS)",7 lbs,No,No,1,29.73,2251.68,9.95,33.4,33.44
"Associate degree (AA, AS)",7 lbs,No,No,1,30.51,1948.76,8.49,31.78,33.8
"Associate degree (AA, AS)",7 lbs,No,No,1,30.09,2353.82,9.5,33.99,32.65
"Associate degree (AA, AS)",7 lbs,No,No,1,30.32,2967.01,11.33,37.21,33.07
"Associate degree (AA, AS)",7 lbs,No,No,1,30.16,3232.99,11.57,38.41,33.14
"Associate degree (AA, AS)",7 lbs,No,No,1,29.89,3399.74,11.41,38.85,32.75
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,0,29.83,1394.3,4.55,26.92,29.42
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,0,29.81,800.73,6.16,23.41,27.57
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,0,30.43,1390.35,7.26,26.85,30.27
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,0,31.65,1910.47,8.69,31.5,30.68
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,0,32.62,2359.43,8.5,34.05,31.49
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,31.03,2163.76,9.17,32.55,32.39
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,31.54,2343.84,9.76,33.88,32.48
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,32.34,2527.16,10.36,34.92,32.04
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,31.87,2991.73,11.02,37.14,32.03
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,31.63,3238.26,11.37,38.51,31.25
"Bachelor's degree (BA, AB, BS)",7 lbs,No,No,1,31.74,3312.87,11.76,38.68,31.81
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,0,33,1170,8.5,25.5,36.35
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,0,32.55,996.15,7.41,25.31,28.54
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,0,34.08,1306.08,8.69,26.08,30.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,0,31.8,1290,5.2,27.67,24.84
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,0,35.26,2042.26,9.76,32.16,28.88
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,34.12,1789.69,10.53,32,29.19
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,33.69,2385.38,10.26,34.19,31.98
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,33.28,2447.75,10.16,34.24,33.03
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,33.6,2909.42,10.92,36.96,31.34
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,33.25,3231.07,11.66,38.49,30.88
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",7 lbs,No,No,1,32.92,3260.23,11.51,38.58,31.39
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,0,35,371,3.5,21,29.25
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,0,34.25,551.18,5.33,22.67,27.13
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,0,33.8,466.8,6.8,21.6,28.88
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,0,32,1511.67,9.33,29.67,28.8
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,0,31.5,2620.5,12.33,35.83,34.05
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,36.11,2331.22,9.78,33.56,28.11
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,33.57,1886.29,7.43,34,27.26
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,34.35,2543.15,9.78,35.4,29.1
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,34.27,2881.16,10.3,36.81,30.5
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,34.17,3182.23,11.21,38.39,29.19
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7 lbs,No,No,1,33,3504,7.83,38.83,28.5
8th grade or less,8 lbs,No,No,0,37,365,3,20,35.1
8th grade or less,8 lbs,No,No,0,29.35,1165.95,4.94,26.75,27.76
8th grade or less,8 lbs,No,No,0,35,1586.33,5.14,25.75,30.12
8th grade or less,8 lbs,No,No,0,24.8,3060,6.2,39.4,27.82
8th grade or less,8 lbs,No,No,0,31.1,1811.9,4.78,31.8,27.74
8th grade or less,8 lbs,No,No,1,31.68,2369.74,7.67,34.16,27.26
8th grade or less,8 lbs,No,No,1,29.66,2498.31,8.5,34.76,27.96
8th grade or less,8 lbs,No,No,1,29.13,2391.86,7.15,34.42,27.97
8th grade or less,8 lbs,No,No,1,30.54,3008.27,8.63,37.47,28.43
8th grade or less,8 lbs,No,No,1,30.72,3203.17,9.76,38.48,29.21
8th grade or less,8 lbs,No,No,1,31.27,3321.62,8.08,38.91,30.18
9th through 12th grade with no diploma,8 lbs,No,No,0,26.22,1608.11,7,28.67,24.79
9th through 12th grade with no diploma,8 lbs,No,No,0,24.81,1054.41,5.74,24.75,27.65
9th through 12th grade with no diploma,8 lbs,No,No,0,24.32,1623.39,6.97,29.41,27.53
9th through 12th grade with no diploma,8 lbs,No,No,0,25.05,1621.29,5.59,29.61,27.69
9th through 12th grade with no diploma,8 lbs,No,No,0,23.57,2015.08,6.58,32.77,28.74
9th through 12th grade with no diploma,8 lbs,No,No,1,25.63,2176.38,8.42,33.1,32.16
9th through 12th grade with no diploma,8 lbs,No,No,1,25.82,2277.03,7.12,33.83,28.66
9th through 12th grade with no diploma,8 lbs,No,No,1,25.03,2475.77,8.12,34.88,29.93
9th through 12th grade with no diploma,8 lbs,No,No,1,25.92,2881.82,9.02,37.04,30.49
9th through 12th grade with no diploma,8 lbs,No,No,1,26.18,3110.56,9.6,38.29,30.17
9th through 12th grade with no diploma,8 lbs,No,No,1,25.48,3139.58,9.9,38.44,30.68
High school graduate or GED completed,8 lbs,No,No,0,25,1424.28,4.76,28.13,27.92
High school graduate or GED completed,8 lbs,No,No,0,26.25,817.96,4.73,24.07,28.88
High school graduate or GED completed,8 lbs,No,No,0,25.55,1108.63,5.64,26.38,29.2
High school graduate or GED completed,8 lbs,No,No,0,26.01,1780.04,7.16,30.41,30.73
High school graduate or GED completed,8 lbs,No,No,0,25.79,2236.24,8.31,32.96,31.27
High school graduate or GED completed,8 lbs,No,No,1,27.14,2110.34,7.58,32.78,30.58
High school graduate or GED completed,8 lbs,No,No,1,26.64,2257.51,8.35,33.6,31.74
High school graduate or GED completed,8 lbs,No,No,1,26.83,2477.47,9.51,34.88,30.76
High school graduate or GED completed,8 lbs,No,No,1,26.74,2942.42,9.86,37.21,31.98
High school graduate or GED completed,8 lbs,No,No,1,27.03,3163.7,10.54,38.4,31.66
High school graduate or GED completed,8 lbs,No,No,1,26.9,3260.04,10.9,38.69,31.79
"Some college credit, but not a degree",8 lbs,No,No,0,28.05,1120.58,4.86,26.38,28.05
"Some college credit, but not a degree",8 lbs,No,No,0,27.83,805.78,6.3,23.55,28.41
"Some college credit, but not a degree",8 lbs,No,No,0,28.33,1202.8,6.35,26.15,29.34
"Some college credit, but not a degree",8 lbs,No,No,0,27.75,2154.16,9.42,32.57,32.68
"Some college credit, but not a degree",8 lbs,No,No,0,27.62,1778.96,7.83,31,30.17
"Some college credit, but not a degree",8 lbs,No,No,1,27.41,1835.57,8.76,31.69,29.15
"Some college credit, but not a degree",8 lbs,No,No,1,28.29,2373.72,9.58,34.24,32.71
"Some college credit, but not a degree",8 lbs,No,No,1,28.36,2520.15,10.04,34.92,32.62
"Some college credit, but not a degree",8 lbs,No,No,1,28.14,2990.39,10.58,37.31,32.62
"Some college credit, but not a degree",8 lbs,No,No,1,28.33,3196.71,11.18,38.39,32.65
"Some college credit, but not a degree",8 lbs,No,No,1,28.4,3224.85,11.3,38.47,32.44
"Associate degree (AA, AS)",8 lbs,No,No,0,27,1996.5,13,30,23.5
"Associate degree (AA, AS)",8 lbs,No,No,0,29.41,750.71,5.71,23.3,30.98
"Associate degree (AA, AS)",8 lbs,No,No,0,30.8,1460.08,7,26.87,28.19
"Associate degree (AA, AS)",8 lbs,No,No,0,30.29,2347.57,9.21,33.07,33.29
"Associate degree (AA, AS)",8 lbs,No,No,0,31.36,2152.96,9.2,32.6,33.56
"Associate degree (AA, AS)",8 lbs,No,No,1,30.04,2003.48,8,32.52,30.84
"Associate degree (AA, AS)",8 lbs,No,No,1,29.93,2106.63,9.21,32.54,31.88
"Associate degree (AA, AS)",8 lbs,No,No,1,30.57,2444.16,9.75,34.25,32.45
"Associate degree (AA, AS)",8 lbs,No,No,1,30.39,3022.35,10.98,37.16,33.78
"Associate degree (AA, AS)",8 lbs,No,No,1,30.16,3222.8,11.65,38.4,32.69
"Associate degree (AA, AS)",8 lbs,No,No,1,30.51,3323.29,11.98,38.71,33.21
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,0,29.67,535.29,4.58,21,28.32
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,0,31.12,785,5.5,23.41,27.04
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,0,30.76,1273.68,8.55,27.52,28.66
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,0,31,1761,10.32,30.57,28.46
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,0,31.92,1910.21,8.46,31.26,30.8
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,31.82,2368.14,9.4,34.2,30.7
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,32.63,2201.8,9.96,33.45,30.67
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,31.75,2464.89,10.14,34.57,30.72
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,31.57,2941.98,10.96,36.9,31.5
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,31.71,3250.16,11.64,38.54,31.26
"Bachelor's degree (BA, AB, BS)",8 lbs,No,No,1,31.81,3349.72,11.58,38.85,32.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,0,32,412.75,5,19.25,25.65
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,0,32.55,980.19,5.89,24.28,28.99
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,0,32.6,1239,8.86,25.8,33.72
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,0,33.09,2020.32,9.43,31.55,29.69
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,0,32.75,1579.42,7.33,29,33.81
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,34.18,2214.36,9.48,34.23,29.55
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,34.14,2468.49,10.21,34.19,31.2
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,32.7,2367.15,10.21,34.34,29.81
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,33.61,2882.77,10.94,36.89,30.75
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,33.24,3235.52,11.63,38.49,30.7
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",8 lbs,No,No,1,32.19,3363.69,11.64,38.67,31.94
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,0,32.12,597,6,22.12,28.42
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,0,31,2760.17,10.2,32.33,27.73
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,0,35,1767.33,8.33,32.67,25.93
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,0,37,2115.5,11,33.5,31
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,30.71,2078.43,9.17,32.86,25.73
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,32.4,2874.8,12.8,37.8,35.18
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,34.75,2584.4,11.35,35.4,28.33
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,34.39,2976.44,10.42,37.06,29.79
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,34.27,3203.12,11.77,38.47,29.13
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8 lbs,No,No,1,32.55,3312.55,11.09,38.91,31.67
8th grade or less,9 lbs,No,No,0,31.6,2329.2,6.8,34.6,27.54
8th grade or less,9 lbs,No,No,0,31.8,846.29,5.85,24.13,28.47
8th grade or less,9 lbs,No,No,0,30.36,1346.36,6.82,27.18,23.93
8th grade or less,9 lbs,No,No,0,29.1,2297.1,6,33.4,27.44
8th grade or less,9 lbs,No,No,0,32.54,1985.46,9.2,32,30.12
8th grade or less,9 lbs,No,No,1,29.5,2549.12,8.73,34.94,31.64
8th grade or less,9 lbs,No,No,1,30.43,2121.51,8.15,33.14,30.53
8th grade or less,9 lbs,No,No,1,29.52,2714.17,9.58,35.69,30.84
8th grade or less,9 lbs,No,No,1,30.32,3025.31,8.93,37.61,28.82
8th grade or less,9 lbs,No,No,1,30.61,3200.16,9.75,38.5,29.09
8th grade or less,9 lbs,No,No,1,30.46,3253.05,8.97,38.76,29.51
9th through 12th grade with no diploma,9 lbs,No,No,0,29.54,1242.55,4.75,26.92,27.25
9th through 12th grade with no diploma,9 lbs,No,No,0,24.61,1006.1,5.53,25.73,28.97
9th through 12th grade with no diploma,9 lbs,No,No,0,24.73,1349.52,6.05,28.27,29.47
9th through 12th grade with no diploma,9 lbs,No,No,0,25.79,1869.58,6.91,31.58,28.57
9th through 12th grade with no diploma,9 lbs,No,No,0,25.88,2047.03,8,31.88,28.54
9th through 12th grade with no diploma,9 lbs,No,No,1,25.46,1968.86,7.73,32.08,29.37
9th through 12th grade with no diploma,9 lbs,No,No,1,26.96,2305.31,7.7,34.27,29
9th through 12th grade with no diploma,9 lbs,No,No,1,24.9,2469.27,8.3,34.99,29.42
9th through 12th grade with no diploma,9 lbs,No,No,1,25.6,2935.7,9.04,37.33,29.73
9th through 12th grade with no diploma,9 lbs,No,No,1,26.22,3126.83,9.68,38.35,29.96
9th through 12th grade with no diploma,9 lbs,No,No,1,25.59,3139.24,10.03,38.52,29.91
High school graduate or GED completed,9 lbs,No,No,0,31.55,1249.09,5.91,27.18,26.89
High school graduate or GED completed,9 lbs,No,No,0,25.07,784.8,5.49,24,26.9
High school graduate or GED completed,9 lbs,No,No,0,26,1577.29,7.03,29.34,29.74
High school graduate or GED completed,9 lbs,No,No,0,26.46,1813.55,8.51,30.97,29.43
High school graduate or GED completed,9 lbs,No,No,0,25.99,1827.22,7.42,31.44,29.35
High school graduate or GED completed,9 lbs,No,No,1,26.19,2257.14,8.35,33.83,30.34
High school graduate or GED completed,9 lbs,No,No,1,26.66,2288.36,8.88,33.86,30.92
High school graduate or GED completed,9 lbs,No,No,1,26.77,2493.86,9.01,34.9,30.47
High school graduate or GED completed,9 lbs,No,No,1,26.89,2942.29,10,37.24,31.82
High school graduate or GED completed,9 lbs,No,No,1,27.02,3162.76,10.62,38.4,31.4
High school graduate or GED completed,9 lbs,No,No,1,26.76,3220.42,10.72,38.62,31.74
"Some college credit, but not a degree",9 lbs,No,No,0,26.55,1408.32,6.26,27.9,30.71
"Some college credit, but not a degree",9 lbs,No,No,0,29.12,980.82,5.79,24.93,29.65
"Some college credit, but not a degree",9 lbs,No,No,0,28.59,1727.33,8.29,28.76,31.85
"Some college credit, but not a degree",9 lbs,No,No,0,26.91,1507.61,7.35,29.07,29.83
"Some college credit, but not a degree",9 lbs,No,No,0,28.38,2089,9.02,32.15,33.45
"Some college credit, but not a degree",9 lbs,No,No,1,28.44,2171.61,8.75,33.54,31.61
"Some college credit, but not a degree",9 lbs,No,No,1,28.68,2324.47,9.93,34.09,31.96
"Some college credit, but not a degree",9 lbs,No,No,1,28.41,2583.2,10.07,35.27,33.22
"Some college credit, but not a degree",9 lbs,No,No,1,28.35,2963.78,10.88,37.17,32.73
"Some college credit, but not a degree",9 lbs,No,No,1,28.37,3195.22,11.21,38.39,32.36
"Some college credit, but not a degree",9 lbs,No,No,1,28.56,3276.66,11.41,38.72,31.95
"Associate degree (AA, AS)",9 lbs,No,No,0,26.25,1019.75,7,26,27.4
"Associate degree (AA, AS)",9 lbs,No,No,0,29.03,693.74,6.2,23.4,30.88
"Associate degree (AA, AS)",9 lbs,No,No,0,32.31,1532.31,8.73,29.31,29.04
"Associate degree (AA, AS)",9 lbs,No,No,0,31.16,1844.71,7.56,30.68,30.65
"Associate degree (AA, AS)",9 lbs,No,No,0,30.13,1906.58,8.36,31.77,31.18
"Associate degree (AA, AS)",9 lbs,No,No,1,30.84,2130.84,9,33.33,33.31
"Associate degree (AA, AS)",9 lbs,No,No,1,30.41,2044.78,9.66,31.92,30.78
"Associate degree (AA, AS)",9 lbs,No,No,1,29.7,2324.47,10.69,34.18,32.69
"Associate degree (AA, AS)",9 lbs,No,No,1,30.03,3033.77,11.33,37.3,33.03
"Associate degree (AA, AS)",9 lbs,No,No,1,30.08,3225.98,11.66,38.42,32.46
"Associate degree (AA, AS)",9 lbs,No,No,1,29.93,3386.63,11.76,38.92,31.6
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,0,31,1297,5.8,25.78,29.1
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,0,31.67,894.54,5.98,24.17,28.43
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,0,30.89,1473.16,9.37,27.96,29.64
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,0,28.93,1802.86,7.13,30.53,28.51
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,0,30.44,2123.67,9.85,32.88,31.59
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,32.04,2149.28,9.55,32.93,29.62
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,31.15,2258.61,9.89,33.41,29.84
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,31.48,2495.17,10.12,34.67,31.23
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,31.51,3013.29,11.32,37.32,31.48
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,31.75,3238.16,11.56,38.53,30.83
"Bachelor's degree (BA, AB, BS)",9 lbs,No,No,1,31.39,3349.45,11.83,38.89,31.02
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,0,29,481,5.5,20,29.1
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,0,32.75,954.68,6.44,25,27.63
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,0,33.31,980.5,7.06,25.12,27.18
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,0,31.5,1707.14,8,30,29.42
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,0,33.4,1531.57,7.57,29.13,28.77
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,32.76,1992.76,8.29,32.38,29.26
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,32.44,2001.1,8.92,32.18,29.21
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,32.9,2575.01,10.38,35.3,30.63
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,33.26,2940.06,11.26,37.19,30.44
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,33.18,3222.83,11.7,38.46,30.65
"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",9 lbs,No,No,1,32.78,3303.93,12.11,38.88,29.63
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,No,No,0,35.33,438.33,7.67,21,27.33
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,No,No,0,34.91,651.89,4.8,21.64,23.97
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,No,No,0,40,1390,6.5,30,34.8
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,No,No,0,37,1294.75,7,28.75,29.27
"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",9 lbs,No,No,0,31.33,1661.67,6.67,30,23.7
