DEATH,COUNTY,DEATHS
2010,Meigs,262
2011,Meigs,266
2012,Meigs,254
2013,Meigs,278
2014,Meigs,278
2015,Meigs,285
2016,Meigs,326
2017,Meigs,279
2018,Meigs,355
2019,Meigs,202
2007,Mercer,381
2008,Mercer,403
2009,Mercer,364
2010,Mercer,400
2011,Mercer,369
2012,Mercer,424
2013,Mercer,406
2014,Mercer,421
2015,Mercer,415
2016,Mercer,430
2017,Mercer,395
2018,Mercer,411
2019,Mercer,292
2007,Miami,922
2008,Miami,906
2009,Miami,918
2010,Miami,947
2011,Miami,1010
2012,Miami,993
2013,Miami,1067
2014,Miami,994
2015,Miami,1066
2016,Miami,1170
2017,Miami,1114
2018,Miami,1173
2019,Miami,799
2007,Monroe,149
2008,Monroe,152
2009,Monroe,203
2010,Monroe,177
2011,Monroe,173
2012,Monroe,166
2013,Monroe,178
2014,Monroe,196
2015,Monroe,164
2016,Monroe,174
2017,Monroe,169
2018,Monroe,203
2019,Monroe,122
2007,Montgomery,5335
2008,Montgomery,5761
2009,Montgomery,5397
2010,Montgomery,5626
2011,Montgomery,5670
2012,Montgomery,5662
2013,Montgomery,5890
2014,Montgomery,5958
2015,Montgomery,6076
2016,Montgomery,6194
2017,Montgomery,6532
2018,Montgomery,6394
2019,Montgomery,4689
2007,Morgan,166
2008,Morgan,172
2009,Morgan,152
2010,Morgan,158
2011,Morgan,178
2012,Morgan,181
2013,Morgan,171
2014,Morgan,148
2015,Morgan,183
2016,Morgan,180
2017,Morgan,197
2018,Morgan,191
2019,Morgan,131
2007,Morrow,285
2008,Morrow,279
2009,Morrow,276
2010,Morrow,304
2011,Morrow,312
2012,Morrow,298
2013,Morrow,295
2014,Morrow,320
2015,Morrow,350
2016,Morrow,321
2017,Morrow,351
2018,Morrow,312
2019,Morrow,264
2007,Muskingum,821
2008,Muskingum,905
2009,Muskingum,895
2010,Muskingum,915
2011,Muskingum,879
2012,Muskingum,1001
2013,Muskingum,932
2014,Muskingum,1012
2015,Muskingum,983
2016,Muskingum,1007
2017,Muskingum,1035
2018,Muskingum,1047
2019,Muskingum,744
2007,Noble,123
2008,Noble,150
2009,Noble,129
2010,Noble,121
2011,Noble,131
2012,Noble,119
2013,Noble,150
2014,Noble,122
2015,Noble,135
2016,Noble,145
2017,Noble,141
2018,Noble,150
2019,Noble,116
2007,NonOH,0
2008,NonOH,0
2009,NonOH,0
2010,NonOH,0
2011,NonOH,0
2012,NonOH,0
2013,NonOH,0
2014,NonOH,0
2015,NonOH,0
2016,NonOH,0
2017,NonOH,0
2018,NonOH,0
2019,NonOH,0
2007,Ottawa,455
2008,Ottawa,459
2009,Ottawa,463
2010,Ottawa,444
2011,Ottawa,454
2012,Ottawa,503
2013,Ottawa,487
2014,Ottawa,432
2015,Ottawa,487
2016,Ottawa,517
2017,Ottawa,509
2018,Ottawa,540
2019,Ottawa,378
2007,Paulding,194
2008,Paulding,207
2009,Paulding,188
2010,Paulding,184
2011,Paulding,198
2012,Paulding,204
2013,Paulding,171
2014,Paulding,175
2015,Paulding,204
2016,Paulding,207
2017,Paulding,200
2018,Paulding,215
2019,Paulding,155
2007,Perry,283
2008,Perry,326
2009,Perry,359
2010,Perry,314
2011,Perry,344
2012,Perry,341
2013,Perry,324
2014,Perry,366
2015,Perry,328
2016,Perry,362
2017,Perry,366
2018,Perry,360
2019,Perry,290
2007,Pickaway,468
2008,Pickaway,465
2009,Pickaway,490
2010,Pickaway,500
2011,Pickaway,490
2012,Pickaway,531
2013,Pickaway,503
2014,Pickaway,504
2015,Pickaway,562
2016,Pickaway,603
2017,Pickaway,666
2018,Pickaway,615
2019,Pickaway,494
2007,Pike,326
2008,Pike,330
2009,Pike,351
2010,Pike,298
2011,Pike,332
2012,Pike,343
2013,Pike,344
2014,Pike,300
2015,Pike,363
2016,Pike,348
2017,Pike,382
2018,Pike,411
2019,Pike,285
2007,Portage,1181
2008,Portage,1241
2009,Portage,1266
2010,Portage,1311
2011,Portage,1310
2012,Portage,1388
2013,Portage,1373
2014,Portage,1376
2015,Portage,1516
2016,Portage,1479
2017,Portage,1521
2018,Portage,1575
2019,Portage,1117
2007,Preble,360
2008,Preble,406
2009,Preble,412
2010,Preble,437
2011,Preble,452
2012,Preble,454
2013,Preble,460
2014,Preble,476
2015,Preble,445
2016,Preble,485
2017,Preble,515
2018,Preble,500
2019,Preble,358
2007,Putnam,276
2008,Putnam,290
2009,Putnam,310
2010,Putnam,303
2011,Putnam,293
2012,Putnam,315
2013,Putnam,312
2014,Putnam,287
2015,Putnam,285
2016,Putnam,307
2017,Putnam,334
2018,Putnam,321
2019,Putnam,246
2007,Richland,1227
2008,Richland,1244
2009,Richland,1254
2010,Richland,1311
2011,Richland,1354
2012,Richland,1311
2013,Richland,1386
2014,Richland,1427
2015,Richland,1374
2016,Richland,1436
2017,Richland,1516
2018,Richland,1511
2019,Richland,1077
2007,Ross,719
2008,Ross,742
2009,Ross,762
2010,Ross,810
2011,Ross,805
2012,Ross,851
2013,Ross,762
2014,Ross,812
2015,Ross,870
2016,Ross,889
2017,Ross,811
2018,Ross,905
2019,Ross,658
2007,Sandusky,634
2008,Sandusky,663
2009,Sandusky,594
2010,Sandusky,661
2011,Sandusky,609
2012,Sandusky,603
2013,Sandusky,667
2014,Sandusky,642
2015,Sandusky,657
2016,Sandusky,676
2017,Sandusky,693
2018,Sandusky,707
2019,Sandusky,506
2007,Scioto,891
2008,Scioto,1019
2009,Scioto,885
2010,Scioto,948
2011,Scioto,899
2012,Scioto,973
2013,Scioto,938
2014,Scioto,1035
2015,Scioto,967
2016,Scioto,1027
2017,Scioto,1058
2018,Scioto,1084
2019,Scioto,827
2007,Seneca,580
2008,Seneca,580
2009,Seneca,553
2010,Seneca,528
2011,Seneca,575
2012,Seneca,651
2013,Seneca,570
2014,Seneca,554
2015,Seneca,581
2016,Seneca,596
2017,Seneca,646
2018,Seneca,622
2019,Seneca,461
2007,Shelby,394
2008,Shelby,386
2009,Shelby,402
2010,Shelby,380
2011,Shelby,443
2012,Shelby,408
2013,Shelby,434
2014,Shelby,423
2015,Shelby,437
2016,Shelby,485
2017,Shelby,508
2018,Shelby,483
2019,Shelby,353
2007,Stark,3922
2008,Stark,4001
2009,Stark,3807
2010,Stark,3926
2011,Stark,4048
2012,Stark,4060
2013,Stark,4043
2014,Stark,4071
2015,Stark,4127
2016,Stark,4378
2017,Stark,4478
2018,Stark,4421
2019,Stark,3188
2007,Summit,5251
2008,Summit,5424
2009,Summit,5336
2010,Summit,5322
2011,Summit,5534
2012,Summit,5519
2013,Summit,5550
2014,Summit,5755
2015,Summit,5891
2016,Summit,5918
2017,Summit,6011
2018,Summit,5873
2019,Summit,4486
2007,Trumbull,2439
2008,Trumbull,2480
2009,Trumbull,2382
2010,Trumbull,2356
2011,Trumbull,2555
2012,Trumbull,2509
2013,Trumbull,2466
2014,Trumbull,2543
2015,Trumbull,2594
2016,Trumbull,2588
2017,Trumbull,2730
2018,Trumbull,2655
2019,Trumbull,1905
2007,Tuscarawas,938
2008,Tuscarawas,925
2009,Tuscarawas,945
2010,Tuscarawas,926
2011,Tuscarawas,998
2012,Tuscarawas,975
2013,Tuscarawas,1030
2014,Tuscarawas,989
2015,Tuscarawas,1073
2016,Tuscarawas,1063
2017,Tuscarawas,1136
2018,Tuscarawas,1158
2019,Tuscarawas,853
2007,Union,299
2008,Union,319
2009,Union,297
2010,Union,319
2011,Union,326
2012,Union,334
2013,Union,357
2014,Union,359
2015,Union,392
2016,Union,367
2017,Union,400
2018,Union,418
2019,Union,326
2007,Unknown,0
2008,Unknown,0
2009,Unknown,0
2010,Unknown,0
2011,Unknown,51
2012,Unknown,73
2013,Unknown,68
2014,Unknown,15
2015,Unknown,7
2016,Unknown,0
2017,Unknown,14
2018,Unknown,19
2019,Unknown,19
2007,Van Wert,292
2008,Van Wert,317
2009,Van Wert,295
2010,Van Wert,261
2011,Van Wert,290
2012,Van Wert,322
2013,Van Wert,331
2014,Van Wert,331
2015,Van Wert,341
2016,Van Wert,339
2017,Van Wert,328
2018,Van Wert,326
2019,Van Wert,225
2007,Vinton,131
2008,Vinton,130
2009,Vinton,146
2010,Vinton,113
2011,Vinton,139
2012,Vinton,142
2013,Vinton,155
2014,Vinton,152
2015,Vinton,132
2016,Vinton,153
2017,Vinton,146
2018,Vinton,165
2019,Vinton,131
2007,Warren,1268
2008,Warren,1330
2009,Warren,1440
2010,Warren,1412
2011,Warren,1463
2012,Warren,1526
2013,Warren,1589
2014,Warren,1627
2015,Warren,1552
2016,Warren,1781
2017,Warren,1888
2018,Warren,1903
2019,Warren,1336
2007,Washington,645
2008,Washington,744
2009,Washington,664
2010,Washington,627
2011,Washington,743
2012,Washington,695
2013,Washington,725
2014,Washington,713
2015,Washington,774
2016,Washington,758
2017,Washington,790
2018,Washington,748
2019,Washington,576
2007,Wayne,950
2008,Wayne,1024
2009,Wayne,1007
2010,Wayne,1028
2011,Wayne,1019
2012,Wayne,1066
2013,Wayne,1052
2014,Wayne,1075
2015,Wayne,1097
2016,Wayne,1165
2017,Wayne,1147
2018,Wayne,1219
2019,Wayne,917
2007,Williams,341
2008,Williams,389
2009,Williams,369
2010,Williams,366
2011,Williams,353
2012,Williams,366
2013,Williams,403
2014,Williams,397
2015,Williams,381
2016,Williams,441
2017,Williams,448
2018,Williams,453
2019,Williams,313
2007,Wood,952
2008,Wood,949
2009,Wood,951
2010,Wood,987
2011,Wood,1010
2012,Wood,957
2013,Wood,1022
2014,Wood,1132
2015,Wood,1115
2016,Wood,1152
2017,Wood,1168
2018,Wood,1218
2019,Wood,867
2007,Wyandot,222
2008,Wyandot,219
2009,Wyandot,234
2010,Wyandot,212
2011,Wyandot,204
2012,Wyandot,228
2013,Wyandot,255
2014,Wyandot,248
2015,Wyandot,265
2016,Wyandot,253
2017,Wyandot,248
2018,Wyandot,264
2019,Wyandot,192
