Month_code,Birthplace_code,Delivery_method_code,Fetal_presentation_code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,3,1,1,0,26.6,3299.8,5.75,39.6,23.3,5
1,3,1,1,1,28.0,3345.0,6.0,39.0,19.0,1
1,3,1,1,2,34.33,3147.83,8.33,38.33,29.4,6
1,3,1,1,3,31.82,3553.55,10.45,39.45,25.58,11
1,3,1,1,4,29.25,3869.12,9.56,39.5,23.9,16
1,3,1,1,5,30.31,3447.69,7.67,39.41,24.83,39
1,3,1,1,6,31.07,3607.98,9.26,39.45,26.44,44
1,3,1,1,7,29.78,3613.49,9.27,39.53,25.23,139
1,3,1,1,8,30.29,3577.06,9.61,39.69,24.79,514
1,3,1,1,9,30.71,3614.69,9.87,39.67,24.26,2795
1,3,1,1,10,30.44,3581.54,9.5,39.71,24.17,2775
1,3,1,1,99,29.79,3596.98,5.22,39.72,25.54,323
1,3,1,2,4,39.0,4167.0,3.0,42.0,32.9,1
1,3,1,2,5,34.0,3529.5,3.5,40.0,23.1,2
1,3,1,2,6,26.0,3600.0,4.0,41.0,22.3,1
1,3,1,2,7,30.75,2778.25,5.5,36.5,20.55,4
1,3,1,2,8,30.86,3256.29,7.71,39.57,25.45,7
1,3,1,2,9,29.84,3179.67,8.74,39.42,23.51,19
1,3,1,2,10,29.2,3241.67,9.13,39.47,22.73,15
1,3,1,2,99,26.0,3416.0,2.0,39.0,22.1,1
1,3,1,3,0,26.0,4479.0,0.0,39.0,37.1,1
1,3,1,3,7,31.0,2892.0,12.0,37.0,17.5,1
1,3,1,3,8,36.0,3742.0,15.0,40.0,21.0,2
1,3,1,3,9,34.86,3487.0,11.14,40.43,24.87,7
1,3,1,3,10,33.25,3706.5,3.5,39.5,21.52,4
1,3,1,3,99,29.87,3358.57,2.33,39.0,25.05,15
1,3,1,9,5,40.0,4905.0,8.0,39.0,25.0,1
1,3,1,9,6,30.5,4295.0,4.0,39.0,25.1,2
