Anesthesia_code,Anesthesia,Antibiotics_for_Mother_code,Antibiotics_for_Mother,Induction_of_Labor_Code,Induction_of_Labor,Steroids_Code,Steroids,Five_min_APGAR_score_code,Five_min_APGAR_score,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_Interval_Since_Last_Live_Birth_months,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
1,Yes,1,Yes,9,Unknown or Not Stated,1,Yes,10,10,27.86,2554.29,39.5,34.71,6.83,34.57,25.09,7
2,No,1,Yes,9,Unknown or Not Stated,1,Yes,1,1,35,1290,187,26,2,28,49,1
2,No,1,Yes,9,Unknown or Not Stated,1,Yes,8,8,20,1670,,32,5,32,17.7,1
2,No,1,Yes,9,Unknown or Not Stated,1,Yes,9,9,22.6,1649,20,30.4,6.6,32.4,26.68,5
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,2,2,27,400,60,24,9,24,25,1
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,4,4,20,2040,14,30,2,30,22.1,1
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,5,5,38,540,171,23,5,23,28.2,1
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,7,7,32.5,1725,148.33,31,9.5,29.25,33.95,4
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,8,8,28.61,1778.44,50.5,32.67,13.28,31.44,28.57,18
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,9,9,27.35,2582.63,45.42,35.61,9.83,35.51,26.7,49
1,Yes,2,No,9,Unknown or Not Stated,1,Yes,10,10,27.14,2700,55.75,36,11.86,35.86,28.93,7
2,No,2,No,9,Unknown or Not Stated,1,Yes,0,0,26,335,,21,,21,30.8,1
2,No,2,No,9,Unknown or Not Stated,1,Yes,8,8,34,1715,97,30,10,30,21.6,2
2,No,2,No,9,Unknown or Not Stated,1,Yes,10,10,26,1250,,29,4,29,27.3,1
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,0,0,20,280,,20,0,20,21.2,1
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,5,5,26.67,3226.67,43.5,36,6,36.67,27.6,3
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,6,6,30,3467.5,47,38,5,38,31.85,2
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,7,7,30.1,2721.5,92,34.5,13.6,35.2,27.94,10
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,8,8,25.56,2975.44,44.45,36.79,10.88,36.93,31.07,43
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,9,9,27.59,3219.15,52.89,38.02,9.98,37.84,29.22,507
1,Yes,1,Yes,9,Unknown or Not Stated,2,No,10,10,27.59,3414.43,48.67,38.32,9.38,38.19,27.8,79
2,No,1,Yes,9,Unknown or Not Stated,2,No,2,2,39,660,,25,4,24,35.5,1
2,No,1,Yes,9,Unknown or Not Stated,2,No,8,8,28,2290,37,35.33,8.33,36,38,3
2,No,1,Yes,9,Unknown or Not Stated,2,No,9,9,26.88,3038.12,44.33,36.12,8.12,35.88,26.56,8
2,No,1,Yes,9,Unknown or Not Stated,2,No,99,Unknown or Not Stated,27,3935,55,38,0,40,23.8,1
1,Yes,2,No,9,Unknown or Not Stated,2,No,1,1,26,1185,,30,12,28,58.9,1
1,Yes,2,No,9,Unknown or Not Stated,2,No,3,3,29,3380,101,43,10,39,31.6,1
1,Yes,2,No,9,Unknown or Not Stated,2,No,5,5,35.5,3085,79,38.5,11.5,37,31.45,2
1,Yes,2,No,9,Unknown or Not Stated,2,No,6,6,26,2564.44,63.5,34.78,9.44,34.11,34.14,9
1,Yes,2,No,9,Unknown or Not Stated,2,No,7,7,26.91,2629.45,31.12,35,10,35,30.2,22
1,Yes,2,No,9,Unknown or Not Stated,2,No,8,8,26.64,3141.78,51.83,37.67,9.85,37.42,28.24,103
1,Yes,2,No,9,Unknown or Not Stated,2,No,9,9,26.88,3302.03,50.22,38.34,10.63,38.24,28,1509
1,Yes,2,No,9,Unknown or Not Stated,2,No,10,10,27.39,3358.64,50.09,38.67,10.36,38.37,28.06,268
1,Yes,2,No,9,Unknown or Not Stated,2,No,99,Unknown or Not Stated,26,2015,14,28,0,34,28.3,1
2,No,2,No,9,Unknown or Not Stated,2,No,1,1,19,360,23,21,5,21,17.1,1
2,No,2,No,9,Unknown or Not Stated,2,No,6,6,24,1745,16,31,5,31,21,1
2,No,2,No,9,Unknown or Not Stated,2,No,7,7,20,3510,,39,13,39,22.3,1
