Anesthesia_code,Antibiotics_for_Mother_code,Induction_of_Labor_Code,Steroids_Code,Five_min_APGAR_score_code,Average_Age_Mother_years,Average_Birth_Weight_grams,Average_LMP_Gestational_Age_weeks,Average_Prenatal_Visits,Average_OE_Gestational_Age_weeks,Average_Pre-pregnancy_BMI,Births
2,1,2,2,7,28.79,2808.29,36.17,9.48,35.96,28.03,1874
2,1,2,2,8,28.85,3104.79,37.72,10,37.52,27.35,9710
2,1,2,2,9,28.98,3262.39,38.59,10.55,38.45,26.66,82570
2,1,2,2,10,28.81,3297.24,38.89,10.59,38.7,26.02,2287
2,1,2,2,99,28.56,2571.27,34.91,9.46,34.64,28.14,193
1,2,2,2,0,28.98,2254.11,32.44,8.58,32.33,28.1,331
1,2,2,2,1,28.55,1666.01,29.44,7.66,29.11,28.45,1929
1,2,2,2,2,28.42,2441.62,34.06,9.58,33.74,28.17,1634
1,2,2,2,3,28.55,2632.62,35.49,9.87,35.15,28.5,1752
1,2,2,2,4,28.54,2769.02,36.16,10.14,35.96,28.29,2464
1,2,2,2,5,28.83,2856.02,36.57,10.55,36.35,28.47,4386
1,2,2,2,6,28.87,2916.93,36.91,10.73,36.7,28.16,8758
1,2,2,2,7,28.96,3013.53,37.34,10.92,37.12,28.03,22963
1,2,2,2,8,28.84,3208.21,38.22,11.15,38.05,27.54,131660
1,2,2,2,9,29.01,3311.53,38.79,11.35,38.66,26.68,1168096
1,2,2,2,10,28.52,3330.86,38.84,11.4,38.69,26.64,21671
1,2,2,2,99,29.3,2883.76,36.72,10.95,36.49,27.09,2284
2,2,2,2,0,28.18,1856.43,29.95,5.97,29.65,27.81,691
2,2,2,2,1,28.2,1031.8,25.04,5.22,24.6,29.15,2378
2,2,2,2,2,28.38,1716.43,29.38,6.96,29.03,29.1,1316
2,2,2,2,3,29.16,2154.64,32.52,8.06,32.21,28.42,1128
2,2,2,2,4,29.05,2520.51,34.95,8.96,34.68,28.3,1438
2,2,2,2,5,28.94,2671.27,35.75,9.13,35.56,27.93,2461
2,2,2,2,6,29.12,2785.36,36.22,9.57,35.98,27.9,4365
2,2,2,2,7,29.12,2989.66,37.19,9.98,36.98,27.66,11028
2,2,2,2,8,29.09,3230.86,38.32,10.58,38.14,27.18,62969
2,2,2,2,9,29.31,3315.33,38.83,10.87,38.7,26.47,537499
2,2,2,2,10,29.77,3453.43,39.35,10.26,39.26,25.32,30331
